,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
0,China,81008,41.0,3255.0,7.0,71740.0,6013,1927.0,56.0,1439324000.0,35.86166,104.195397,0.00562819768168946,88.55915465139246,7.422723681611693,4.018121666995852
1,Italy,53578,,4825.0,793.0,6072.0,42681,2857.0,886.0,60462000.0,41.87194,12.56738,0.08861433627733122,11.333009817462392,79.66142819814102,9.00556198439658
2,Spain,25374,,1378.0,285.0,2125.0,21871,1612.0,543.0,46755000.0,40.463667,-3.7492199999999998,0.05427013153673403,8.374714274454167,86.19452983368802,5.430755891857808
3,USA,22213,,283.0,27.0,171.0,21759,64.0,67.0,331003000.0,37.09024,-95.712891,0.006710815309831028,0.7698194750821591,97.95615180299825,1.2740287219195967
4,Germany,21854,,77.0,9.0,209.0,21568,2.0,261.0,83784000.0,51.165690999999995,10.451526,0.026083739138737707,0.9563466642262286,98.69131509105884,0.3523382447149263
5,Iran,20610,966.0,1556.0,123.0,7635.0,11419,0.0,245.0,83993000.0,32.427908,53.68804599999999,0.024537759098972534,37.04512372634643,55.40514313440078,7.54973313925279
6,France,12612,0.0,450.0,0.0,1587.0,10575,1297.0,193.0,65274000.0,46.227638,2.213749,0.01932162882617888,12.583254043767841,83.84871550903901,3.56803044719315
7,S. Korea,8799,147.0,102.0,8.0,2612.0,6085,59.0,172.0,25779000.0,40.339852,127.510093,0.034132433376003725,29.68519149903398,69.15558586202978,1.1592226389362428
8,Switzerland,6373,758.0,74.0,18.0,15.0,6284,141.0,736.0,8655000.0,46.818188,8.227511999999999,0.07363373772385905,0.2353679585752393,98.6034834457869,1.1611485956378473
9,UK,4094,111.0,233.0,56.0,65.0,3796,20.0,60.0,67886000.0,55.378051,-3.435973,0.006030698523996111,1.5876893014167073,92.72105520273571,5.691255495847582
10,Netherlands,3631,637.0,136.0,30.0,2.0,3493,354.0,212.0,17135000.0,52.132633,5.291266,0.021190545666763934,0.0550812448361333,96.1993941063068,3.745524648857064
11,Austria,2847,198.0,8.0,2.0,9.0,2830,15.0,316.0,9006000.0,47.516231,14.550072,0.03161225849433711,0.31612223393045313,99.40288022479803,0.2809975412715139
12,Belgium,2815,558.0,67.0,30.0,263.0,2485,288.0,243.0,11590000.0,50.503887,4.469936,0.02428817946505608,9.342806394316163,88.27708703374778,2.380106571936057
13,Norway,2119,160.0,7.0,0.0,1.0,2111,28.0,391.0,5421000.0,60.472024,8.468946,0.039088729016786575,0.04719207173194903,99.6224634261444,0.33034450212364325
14,Sweden,1764,125.0,20.0,4.0,16.0,1728,69.0,175.0,10099000.0,60.128161,18.643501,0.017467075948113673,0.9070294784580499,97.95918367346938,1.1337868480725624
15,Denmark,1326,71.0,13.0,4.0,1.0,1312,42.0,229.0,5792000.0,56.26392,9.501785,0.022893646408839778,0.07541478129713425,98.94419306184012,0.9803921568627451
16,Portugal,1280,260.0,12.0,6.0,5.0,1263,26.0,126.0,10197000.0,39.399871999999995,-8.224454,0.012552711581837794,0.390625,98.671875,0.9375
17,Malaysia,1183,153.0,8.0,5.0,114.0,1061,26.0,37.0,32366000.0,4.210483999999999,101.97576600000001,0.0036550701353271955,9.636517328825022,89.68723584108199,0.6762468300929839
18,Canada,1087,0.0,13.0,1.0,14.0,1060,1.0,29.0,37742000.0,56.130366,-106.34677099999999,0.00288008054687086,1.2879484820607177,97.51609935602575,1.1959521619135236
19,Australia,1072,144.0,7.0,0.0,46.0,1019,2.0,42.0,25500000.0,-25.274398,133.775136,0.004203921568627451,4.291044776119403,95.05597014925374,0.6529850746268656
20,Brazil,1021,51.0,18.0,7.0,2.0,1001,18.0,5.0,212559000.0,-14.235004,-51.92528,0.00048033722401780214,0.1958863858961802,98.0411361410382,1.762977473065622
21,Japan,1007,0.0,35.0,0.0,215.0,757,55.0,8.0,126476000.0,36.204824,138.252924,0.0007961984882507353,21.35054617676266,75.17378351539226,3.475670307845084
22,Czechia,925,92.0,0.0,0.0,6.0,919,7.0,86.0,10709000.0,49.817492,15.472961999999999,0.00863759454664301,0.6486486486486486,99.35135135135134,0.0
23,Israel,883,178.0,1.0,0.0,36.0,846,15.0,102.0,8656000.0,31.046051000000002,34.851612,0.010201016635859518,4.077010192525481,95.80973952434881,0.11325028312570783
24,Pakistan,720,219.0,3.0,0.0,13.0,704,0.0,3.0,220892000.0,30.375321000000003,69.345116,0.00032595114354526194,1.8055555555555554,97.77777777777777,0.4166666666666667
25,Ireland,683,0.0,3.0,0.0,5.0,675,6.0,138.0,4938000.0,53.41291,-8.243889999999999,0.01383151073309032,0.7320644216691069,98.82869692532942,0.43923865300146414
26,Turkey,670,0.0,9.0,0.0,0.0,661,0.0,8.0,84339000.0,38.963745,35.243322,0.0007944130236308233,0.0,98.65671641791045,1.3432835820895521
27,Luxembourg,670,186.0,8.0,3.0,6.0,656,3.0,1070.0,626000.0,49.815273,6.129583,0.10702875399361021,0.8955223880597015,97.91044776119404,1.1940298507462688
28,Chile,537,103.0,0.0,0.0,8.0,529,7.0,28.0,19116000.0,-35.675146999999996,-71.542969,0.0028091650973006907,1.48975791433892,98.51024208566108,0.0
29,Greece,530,35.0,13.0,3.0,19.0,498,20.0,51.0,10423000.0,39.074208,21.824312,0.00508490837570757,3.5849056603773586,93.9622641509434,2.4528301886792456
30,Finland,521,71.0,1.0,1.0,10.0,510,2.0,94.0,5541000.0,61.92411,25.748151,0.00940263490344703,1.9193857965451053,97.88867562380038,0.19193857965451055
31,Ecuador,506,80.0,7.0,0.0,3.0,496,2.0,29.0,17643000.0,-1.8312389999999998,-78.183406,0.002867992971716828,0.592885375494071,98.02371541501977,1.383399209486166
32,Qatar,481,11.0,0.0,0.0,27.0,454,6.0,167.0,2881000.0,25.354826,51.183884,0.01669559180839986,5.613305613305614,94.38669438669439,0.0
33,Iceland,473,64.0,1.0,1.0,5.0,467,1.0,1386.0,341000.0,64.96305100000001,-19.020835,0.13870967741935483,1.0570824524312896,98.73150105708245,0.21141649048625794
34,Poland,452,27.0,5.0,0.0,13.0,434,3.0,12.0,37847000.0,51.919438,19.145135999999997,0.0011942822416571989,2.8761061946902653,96.01769911504425,1.1061946902654867
